region,municipality,district,party,votes
Blekinge län,Karlshamn,9 - Prästslätten,ÖVR,4
Blekinge län,Karlshamn,9 - Prästslätten,OG,2
Blekinge län,Karlshamn,9 - Prästslätten,FI,1
Blekinge län,Karlshamn,9 - Prästslätten,OGEJ,1
Blekinge län,Karlskrona,10 - Saltö-Björkholmen,S,373
Blekinge län,Karlskrona,10 - Saltö-Björkholmen,M,319
Blekinge län,Karlskrona,10 - Saltö-Björkholmen,SD,218
Blekinge län,Karlskrona,10 - Saltö-Björkholmen,V,112
Blekinge län,Karlskrona,10 - Saltö-Björkholmen,L,95
Blekinge län,Karlskrona,10 - Saltö-Björkholmen,C,89
Blekinge län,Karlskrona,10 - Saltö-Björkholmen,KD,68
Blekinge län,Karlskrona,10 - Saltö-Björkholmen,MP,53
Blekinge län,Karlskrona,10 - Saltö-Björkholmen,ÖVR,15
Blekinge län,Karlskrona,10 - Saltö-Björkholmen,BLANK,6
Blekinge län,Karlskrona,10 - Saltö-Björkholmen,FI,5
Blekinge län,Karlskrona,10 - Saltö-Björkholmen,OGEJ,0
Blekinge län,Karlskrona,10 - Saltö-Björkholmen,OG,0
Blekinge län,Karlskrona,11 - Trossö Ö,S,283
Blekinge län,Karlskrona,11 - Trossö Ö,M,212
Blekinge län,Karlskrona,11 - Trossö Ö,SD,204
Blekinge län,Karlskrona,11 - Trossö Ö,V,86
Blekinge län,Karlskrona,11 - Trossö Ö,C,66
Blekinge län,Karlskrona,11 - Trossö Ö,KD,66
Blekinge län,Karlskrona,11 - Trossö Ö,L,59
Blekinge län,Karlskrona,11 - Trossö Ö,MP,39
Blekinge län,Karlskrona,11 - Trossö Ö,ÖVR,20
Blekinge län,Karlskrona,11 - Trossö Ö,BLANK,9
Blekinge län,Karlskrona,11 - Trossö Ö,FI,3
Blekinge län,Karlskrona,11 - Trossö Ö,OG,1
Blekinge län,Karlskrona,11 - Trossö Ö,OGEJ,0
Blekinge län,Karlskrona,12 - Wachtmeister m.fl.,S,375
Blekinge län,Karlskrona,12 - Wachtmeister m.fl.,M,262
Blekinge län,Karlskrona,12 - Wachtmeister m.fl.,SD,189
Blekinge län,Karlskrona,12 - Wachtmeister m.fl.,C,91
Blekinge län,Karlskrona,12 - Wachtmeister m.fl.,V,84
Blekinge län,Karlskrona,12 - Wachtmeister m.fl.,KD,83
Blekinge län,Karlskrona,12 - Wachtmeister m.fl.,L,75
Blekinge län,Karlskrona,12 - Wachtmeister m.fl.,MP,53
Blekinge län,Karlskrona,12 - Wachtmeister m.fl.,ÖVR,17
Blekinge län,Karlskrona,12 - Wachtmeister m.fl.,BLANK,10
Blekinge län,Karlskrona,12 - Wachtmeister m.fl.,FI,7
Blekinge län,Karlskrona,12 - Wachtmeister m.fl.,OGEJ,0
Blekinge län,Karlskrona,12 - Wachtmeister m.fl.,OG,0
Blekinge län,Karlskrona,13 - Västerudd,S,383
Blekinge län,Karlskrona,13 - Västerudd,M,281
Blekinge län,Karlskrona,13 - Västerudd,SD,237
Blekinge län,Karlskrona,13 - Västerudd,V,91
Blekinge län,Karlskrona,13 - Västerudd,L,78
Blekinge län,Karlskrona,13 - Västerudd,C,73
Blekinge län,Karlskrona,13 - Västerudd,KD,71
Blekinge län,Karlskrona,13 - Västerudd,MP,53
Blekinge län,Karlskrona,13 - Västerudd,BLANK,16
Blekinge län,Karlskrona,13 - Västerudd,ÖVR,11
Blekinge län,Karlskrona,13 - Västerudd,FI,7
Blekinge län,Karlskrona,13 - Västerudd,OG,1
Blekinge län,Karlskrona,13 - Västerudd,OGEJ,0
Blekinge län,Karlskrona,14 - Uppsamlingsdistrikt,S,73
Blekinge län,Karlskrona,14 - Uppsamlingsdistrikt,M,63
Blekinge län,Karlskrona,14 - Uppsamlingsdistrikt,SD,47
Blekinge län,Karlskrona,14 - Uppsamlingsdistrikt,C,42
